date,product_id,daily_sales,inventory_level
2021-04-15,P001,33.55,132.69
2021-04-16,P001,43.44,151.64
2021-04-17,P001,56.74,159.71
2021-04-18,P001,42.84,140.33
2021-04-19,P001,51.43,148.69
2021-04-20,P001,43.26,140.14
2021-04-21,P001,33.89,129.1
2021-04-22,P001,30.27,157.09
2021-04-23,P001,45.57,152.55
2021-04-24,P001,48.15,161.02
2021-04-25,P001,54.2,153.31
2021-04-26,P001,48.53,150.68
2021-04-27,P001,51.0,147.86
2021-04-28,P001,35.54,113.02
2021-04-29,P001,32.29,122.51
2021-04-30,P001,45.68,131.57
2021-05-01,P001,52.08,133.58
2021-05-02,P001,60.36,152.41
2021-05-03,P001,52.79,170.04
2021-05-04,P001,42.87,146.43
2021-05-05,P001,45.08,161.98
2021-05-06,P001,30.6,138.71
2021-05-07,P001,40.03,151.85
2021-05-08,P001,44.44,139.43
2021-05-09,P001,49.08,158.32
2021-05-10,P001,38.71,150.0
2021-05-11,P001,43.71,141.94
2021-05-12,P001,34.1,143.7
2021-05-13,P001,28.02,137.68
2021-05-14,P001,36.86,135.37
2021-05-15,P001,50.95,143.72
2021-05-16,P001,55.49,147.65
2021-05-17,P001,57.96,162.83
2021-05-18,P001,56.37,163.64
2021-05-19,P001,36.89,132.96
2021-05-20,P001,29.85,134.12
2021-05-21,P001,29.09,138.79
2021-05-22,P001,49.57,159.76
2021-05-23,P001,44.47,163.98
2021-05-24,P001,42.35,159.12
2021-05-25,P001,34.05,128.04
2021-05-26,P001,32.38,153.21
2021-05-27,P001,40.98,139.67
2021-05-28,P001,41.6,156.05
2021-05-29,P001,45.77,150.45
2021-05-30,P001,41.87,141.75
2021-05-31,P001,33.52,119.44
2021-06-01,P001,33.51,135.8
2021-06-02,P001,31.58,119.99
2021-06-03,P001,43.86,157.54
2021-06-04,P001,40.09,159.26
2021-06-05,P001,51.26,147.29
2021-06-06,P001,43.71,150.73
2021-06-07,P001,35.06,131.81
2021-06-08,P001,29.23,126.95
2021-06-09,P001,26.13,137.88
2021-06-10,P001,44.59,148.21
2021-06-11,P001,32.93,154.33
2021-06-12,P001,48.93,148.11
2021-06-13,P001,39.81,153.81
2021-06-14,P001,46.28,151.25
2021-06-15,P001,35.84,147.79
2021-06-16,P001,28.04,127.57
2021-06-17,P001,,133.56
2021-06-18,P001,32.41,135.25
2021-06-19,P001,45.04,140.68
2021-06-20,P001,40.96,151.58
2021-06-21,P001,31.78,142.28
2021-06-22,P001,24.3,134.23
2021-06-23,P001,28.45,147.81
2021-06-24,P001,38.2,156.69
2021-06-25,P001,35.71,135.96
2021-06-26,P001,40.07,147.8
2021-06-27,P001,43.81,141.57
2021-06-28,P001,45.37,149.61
2021-06-29,P001,31.68,129.68
2021-06-30,P001,23.34,143.54
2021-07-01,P001,33.76,141.39
2021-07-02,P001,35.72,137.54
2021-07-03,P001,48.38,164.32
2021-07-04,P001,41.58,123.88
2021-07-05,P001,28.58,112.44
2021-07-06,P001,20.54,132.5
2021-07-07,P001,34.1,138.7
2021-07-08,P001,35.85,142.35
2021-07-09,P001,30.46,121.19
2021-07-10,P001,35.26,139.03
2021-07-11,P001,47.64,171.68
2021-07-12,P001,27.68,139.92
2021-07-13,P001,21.78,127.48
2021-07-14,P001,26.46,126.07
2021-07-15,P001,21.55,121.6
2021-07-16,P001,29.92,112.62
2021-07-17,P001,35.0,141.57
2021-07-18,P001,39.33,151.78
2021-07-19,P001,41.2,129.44
2021-07-20,P001,26.13,123.52
2021-07-21,P001,24.91,117.33
2021-07-22,P001,10.07,104.42
2021-07-23,P001,28.12,132.65
2021-07-24,P001,29.39,112.55
2021-07-25,P001,28.47,138.61
2021-07-26,P001,25.97,137.51
2021-07-27,P001,22.09,123.58
2021-07-28,P001,25.05,104.25
2021-07-29,P001,12.94,106.97
2021-07-30,P001,27.13,143.46
2021-07-31,P001,30.1,106.32
2021-08-01,P001,32.38,132.91
2021-08-02,P001,35.84,128.04
2021-08-03,P001,25.91,137.96
2021-08-04,P001,26.19,123.44
2021-08-05,P001,18.59,126.63
2021-08-06,P001,21.41,131.06
2021-08-07,P001,30.31,152.67
2021-08-08,P001,34.47,136.44
2021-08-09,P001,29.57,137.33
2021-08-10,P001,14.88,104.03
2021-08-11,P001,17.43,133.33
2021-08-12,P001,19.63,116.02
2021-08-13,P001,39.45,137.84
2021-08-14,P001,41.69,145.47
2021-08-15,P001,26.7,115.07
2021-08-16,P001,25.6,131.89
2021-08-17,P001,11.45,125.12
2021-08-18,P001,12.2,119.13
2021-08-19,P001,19.03,107.14
2021-08-20,P001,30.48,133.24
2021-08-21,P001,24.98,136.4
2021-08-22,P001,26.84,112.06
2021-08-23,P001,13.41,106.66
2021-08-24,P001,18.24,131.01
2021-08-25,P001,8.39,115.09
2021-08-26,P001,13.0,121.12
2021-08-27,P001,17.05,139.64
2021-08-28,P001,27.88,136.56
2021-08-29,P001,19.33,129.91
2021-08-30,P001,16.63,147.74
2021-08-31,P001,31.16,133.02
2021-09-01,P001,6.22,102.25
2021-09-02,P001,8.81,117.09
2021-09-03,P001,32.57,140.96
2021-09-04,P001,45.14,143.88
2021-09-05,P001,22.14,115.81
2021-09-06,P001,22.54,149.64
2021-09-07,P001,19.78,127.05
2021-09-08,P001,23.7,120.37
2021-09-09,P001,8.88,122.04
2021-09-10,P001,19.51,122.42
2021-09-11,P001,31.84,133.31
2021-09-12,P001,31.27,140.89
2021-09-13,P001,22.02,113.1
2021-09-14,P001,16.47,124.0
2021-09-15,P001,4.65,127.78
2021-09-16,P001,12.97,121.64
2021-09-17,P001,19.02,119.26
2021-09-18,P001,28.23,127.16
2021-09-19,P001,25.02,124.92
2021-09-20,P001,26.83,128.29
2021-09-21,P001,23.11,123.33
2021-09-22,P001,13.62,126.78
2021-09-23,P001,16.33,103.0
2021-09-24,P001,20.78,133.4
2021-09-25,P001,26.71,126.92
2021-09-26,P001,23.93,131.7
2021-09-27,P001,25.83,118.56
2021-09-28,P001,16.42,133.7
2021-09-29,P001,25.24,141.7
2021-09-30,P001,23.69,137.28
2021-10-01,P001,22.84,111.69
2021-10-02,P001,22.23,134.52
2021-10-03,P001,21.71,129.75
2021-10-04,P001,31.23,119.18
2021-10-05,P001,18.76,122.52
2021-10-06,P001,15.78,123.43
2021-10-07,P001,4.03,113.59
2021-10-08,P001,26.37,132.14
2021-10-09,P001,29.84,136.75
2021-10-10,P001,22.06,140.79
2021-10-11,P001,21.63,137.89
2021-10-12,P001,19.17,94.5
2021-10-13,P001,13.65,114.47
2021-10-14,P001,13.21,115.56
2021-10-15,P001,20.68,107.15
2021-10-16,P001,26.13,131.07
2021-10-17,P001,30.19,146.68
2021-10-18,P001,,127.01
2021-10-19,P001,2.8,110.17
2021-10-20,P001,12.56,107.4
2021-10-21,P001,16.69,113.98
2021-10-22,P001,23.78,142.55
2021-10-23,P001,26.14,124.72
2021-10-24,P001,19.5,128.12
2021-10-25,P001,27.81,113.1
2021-10-26,P001,29.39,152.02
2021-10-27,P001,5.63,115.66
2021-10-28,P001,21.7,123.88
2021-10-29,P001,20.94,130.7
2021-10-30,P001,28.95,118.85
2021-10-31,P001,24.69,140.52
2021-11-01,P001,24.83,125.59
2021-11-02,P001,27.85,129.81
2021-11-03,P001,77.52,118.46
2021-11-04,P001,27.99,126.18
2021-11-05,P001,31.08,142.03
2021-11-06,P001,33.08,139.64
2021-11-07,P001,42.63,153.15
2021-11-08,P001,30.65,134.57
2021-11-09,P001,26.23,135.36
2021-11-10,P001,15.34,115.15
2021-11-11,P001,19.26,145.55
2021-11-12,P001,21.12,109.44
2021-11-13,P001,37.69,154.3
2021-11-14,P001,26.43,144.11
2021-11-15,P001,34.07,129.55
2021-11-16,P001,21.5,147.79
2021-11-17,P001,25.55,139.51
2021-11-18,P001,24.79,138.5
2021-11-19,P001,37.68,141.96
2021-11-20,P001,37.62,139.44
2021-11-21,P001,25.57,127.47
2021-11-22,P001,30.49,138.4
2021-11-23,P001,17.15,135.16
2021-11-24,P001,16.97,122.79
2021-11-25,P001,30.93,125.82
2021-11-26,P001,32.18,144.42
2021-11-27,P001,30.65,143.87
2021-11-28,P001,30.55,141.1
2021-11-29,P001,32.75,144.2
2021-11-30,P001,18.55,119.84
2021-12-01,P001,17.75,112.46
2021-12-02,P001,25.44,120.76
2021-12-03,P001,37.01,124.65
2021-12-04,P001,40.24,146.61
2021-12-05,P001,24.64,127.81
2021-12-06,P001,36.15,135.75
2021-12-07,P001,28.07,102.52
2021-12-08,P001,26.06,117.58
2021-12-09,P001,35.08,150.29
2021-12-10,P001,19.53,116.88
2021-12-11,P001,34.88,142.49
2021-12-12,P001,43.79,133.88
2021-12-13,P001,26.7,145.08
2021-12-14,P001,38.37,140.93
2021-12-15,P001,27.67,134.57
2021-12-16,P001,32.36,159.62
2021-12-17,P001,30.39,149.55
2021-12-18,P001,45.23,146.16
2021-12-19,P001,48.58,146.65
2021-12-20,P001,39.52,140.26
2021-12-21,P001,32.87,141.97
2021-12-22,P001,29.04,131.98
2021-12-23,P001,24.06,124.11
2021-12-24,P001,34.89,153.56
2021-12-25,P001,41.4,144.26
2021-12-26,P001,46.45,173.44
2021-12-27,P001,46.1,151.01
2021-12-28,P001,27.09,148.95
2021-12-29,P001,28.65,136.22
2021-12-30,P001,40.12,153.75
2021-12-31,P001,33.31,130.06
2022-01-01,P001,39.38,134.84
2022-01-02,P001,47.36,155.95
2022-01-03,P001,47.17,161.05
2022-01-04,P001,35.51,139.91
2022-01-05,P001,39.37,130.51
2022-01-06,P001,38.37,128.77
2022-01-07,P001,44.82,134.55
2022-01-08,P001,49.63,135.96
2022-01-09,P001,62.1,167.2
2022-01-10,P001,42.86,158.11
2022-01-11,P001,25.41,129.28
2022-01-12,P001,43.01,124.41
2022-01-13,P001,32.46,134.56
2022-01-14,P001,42.39,144.76
2022-01-15,P001,56.14,181.1
2022-01-16,P001,40.49,129.92
2022-01-17,P001,38.54,138.63
2022-01-18,P001,29.77,150.83
2022-01-19,P001,30.56,139.06
2022-01-20,P001,39.78,149.42
2022-01-21,P001,46.82,151.96
2022-01-22,P001,51.85,159.15
2022-01-23,P001,43.53,155.31
2022-01-24,P001,34.09,129.99
2022-01-25,P001,41.6,154.38
2022-01-26,P001,34.37,124.64
2022-01-27,P001,41.77,149.05
2022-01-28,P001,49.74,155.52
2022-01-29,P001,52.87,150.7
2022-01-30,P001,58.4,162.17
2022-01-31,P001,51.14,148.91
2022-02-01,P001,46.25,139.53
2022-02-02,P001,34.76,135.23
2022-02-03,P001,39.7,132.66
2022-02-04,P001,48.46,155.69
2022-02-05,P001,58.7,151.2
2022-02-06,P001,53.2,164.32
2022-02-07,P001,54.6,146.78
2022-02-08,P001,43.17,141.5
2022-02-09,P001,39.96,137.71
2022-02-10,P001,47.41,164.67
2022-02-11,P001,36.96,144.26
2022-02-12,P001,47.62,149.5
2022-02-13,P001,48.27,157.25
2022-02-14,P001,39.05,121.97
2022-02-15,P001,42.25,145.82
2022-02-16,P001,46.7,170.67
2022-02-17,P001,42.24,147.57
2022-02-18,P001,51.6,156.28
2022-02-19,P001,63.4,172.88
2022-02-20,P001,66.58,179.53
2022-02-21,P001,54.06,138.09
2022-02-22,P001,55.85,143.02
2022-02-23,P001,,150.24
2022-02-24,P001,40.29,137.14
2022-02-25,P001,48.18,165.3
2022-02-26,P001,49.29,150.14
2022-02-27,P001,54.57,139.22
2022-02-28,P001,53.59,144.91
2022-03-01,P001,53.78,130.28
2022-03-02,P001,55.12,156.78
2022-03-03,P001,,140.32
2022-03-04,P001,55.26,155.02
2022-03-05,P001,53.07,167.85
2022-03-06,P001,63.85,179.83
2022-03-07,P001,56.03,158.32
2022-03-08,P001,156.08,121.68
2022-03-09,P001,51.39,161.56
2022-03-10,P001,43.86,153.41
2022-03-11,P001,50.67,157.76
2022-03-12,P001,53.83,167.64
2022-03-13,P001,57.99,150.34
2022-03-14,P001,60.26,184.35
2022-03-15,P001,49.73,144.13
2022-03-16,P001,48.61,160.11
2022-03-17,P001,50.46,137.58
2022-03-18,P001,62.56,157.26
2022-03-19,P001,58.93,178.09
2022-03-20,P001,53.76,155.15
2022-03-21,P001,64.78,177.18
2022-03-22,P001,49.52,155.89
2022-03-23,P001,53.94,156.9
2022-03-24,P001,51.17,168.81
2022-03-25,P001,54.41,156.04
2022-03-26,P001,63.6,149.8
2022-03-27,P001,74.82,170.79
2022-03-28,P001,71.3,180.81
2022-03-29,P001,52.36,160.32
2022-03-30,P001,48.62,136.95
2022-03-31,P001,55.7,152.46
2022-04-01,P001,201.84,148.64
2022-04-02,P001,63.82,164.16
2022-04-03,P001,63.24,153.48
2022-04-04,P001,60.97,158.68
2022-04-05,P001,47.16,143.87
2022-04-06,P001,38.31,150.02
2022-04-07,P001,36.96,149.05
2022-04-08,P001,48.95,151.49
2022-04-09,P001,59.16,159.24
2022-04-10,P001,61.69,167.09
2022-04-11,P001,70.74,166.57
2022-04-12,P001,58.79,151.33
2022-04-13,P001,42.04,136.64
2022-04-14,P001,51.42,149.07
2022-04-15,P001,53.12,145.49
2022-04-16,P001,60.08,165.7
2022-04-17,P001,64.41,175.71
2022-04-18,P001,62.64,150.77
2022-04-19,P001,49.91,154.16
2022-04-20,P001,53.95,155.75
2022-04-21,P001,42.21,149.62
2022-04-22,P001,55.3,159.17
2022-04-23,P001,77.04,166.5
2022-04-24,P001,64.27,155.65
2022-04-25,P001,67.13,171.43
2022-04-26,P001,52.07,166.36
2022-04-27,P001,50.6,132.46
2022-04-28,P001,48.24,155.69
2022-04-29,P001,53.72,169.62
2022-04-30,P001,56.24,158.71
2022-05-01,P001,64.95,174.45
2022-05-02,P001,52.83,149.8
2022-05-03,P001,54.89,157.7
2022-05-04,P001,52.97,140.76
2022-05-05,P001,50.1,130.65
2022-05-06,P001,52.32,165.75
2022-05-07,P001,,157.05
2022-05-08,P001,59.75,159.2
2022-05-09,P001,62.77,152.9
2022-05-10,P001,39.1,129.0
2022-05-11,P001,43.61,145.87
2022-05-12,P001,35.09,131.8
2022-05-13,P001,44.18,151.96
2022-05-14,P001,67.45,175.98
2022-05-15,P001,66.04,173.25
2022-05-16,P001,51.88,158.26
2022-05-17,P001,40.08,159.86
2022-05-18,P001,26.83,120.15
2022-05-19,P001,42.74,146.19
2022-05-20,P001,66.62,181.95
2022-05-21,P001,60.8,177.45
2022-05-22,P001,56.21,145.99
2022-05-23,P001,57.86,158.74
2022-05-24,P001,38.59,156.17
2022-05-25,P001,41.67,150.75
2022-05-26,P001,45.42,151.37
2022-05-27,P001,50.38,152.2
2022-05-28,P001,61.71,161.88
2022-05-29,P001,60.4,167.28
2022-05-30,P001,57.82,159.3
2022-05-31,P001,42.55,146.12
2022-06-01,P001,47.55,152.33
2022-06-02,P001,53.28,150.5
2022-06-03,P001,43.75,153.07
2022-06-04,P001,50.3,183.44
2022-06-05,P001,64.98,151.21
2022-06-06,P001,51.29,158.53
2022-06-07,P001,53.71,150.11
2022-06-08,P001,38.1,147.87
2022-06-09,P001,50.82,155.28
2022-06-10,P001,48.92,160.54
2022-06-11,P001,55.72,171.48
2022-06-12,P001,64.89,170.82
2022-06-13,P001,48.79,164.11
2022-06-14,P001,38.16,118.71
2022-06-15,P001,36.56,156.47
2022-06-16,P001,43.29,151.05
2022-06-17,P001,37.22,152.0
2022-06-18,P001,56.47,148.27
2022-06-19,P001,50.74,146.43
2022-06-20,P001,56.3,161.76
2022-06-21,P001,27.88,131.71
2022-06-22,P001,32.97,139.81
2022-06-23,P001,,143.74
2022-06-24,P001,40.08,126.43
2022-06-25,P001,52.55,166.29
2022-06-26,P001,51.31,155.39
2022-06-27,P001,46.3,148.27
2022-06-28,P001,39.7,128.99
2022-06-29,P001,37.31,146.34
2022-06-30,P001,31.36,111.22
2022-07-01,P001,47.67,158.16
2022-07-02,P001,53.43,142.51
2022-07-03,P001,53.08,157.62
2022-07-04,P001,49.55,152.36
2022-07-05,P001,40.82,156.51
2022-07-06,P001,46.69,148.9
2022-07-07,P001,35.27,132.33
2022-07-08,P001,39.98,138.91
2022-07-09,P001,43.32,160.05
2022-07-10,P001,42.97,152.33
2022-07-11,P001,37.14,137.28
2022-07-12,P001,32.1,133.74
2022-07-13,P001,32.46,120.78
2022-07-14,P001,36.2,144.09
2022-07-15,P001,40.53,126.94
2022-07-16,P001,41.67,153.18
2022-07-17,P001,52.98,158.27
2022-07-18,P001,47.47,175.34
2022-07-19,P001,34.91,127.91
2022-07-20,P001,27.4,130.37
2022-07-21,P001,35.94,157.92
2022-07-22,P001,39.81,155.72
2022-07-23,P001,36.03,133.07
2022-07-24,P001,45.64,151.88
2022-07-25,P001,43.08,147.1
2022-07-26,P001,28.96,135.78
2022-07-27,P001,30.96,127.97
2022-07-28,P001,22.43,125.54
2022-07-29,P001,45.23,133.25
2022-07-30,P001,50.75,156.1
2022-07-31,P001,43.09,151.59
2022-08-01,P001,,143.98
2022-08-02,P001,18.48,106.33
2022-08-03,P001,21.48,135.36
2022-08-04,P001,28.0,135.65
2022-08-05,P001,29.4,126.14
2022-08-06,P001,46.18,147.38
2022-08-07,P001,55.24,144.23
2022-08-08,P001,31.69,125.43
2022-08-09,P001,26.6,125.22
2022-08-10,P001,28.53,144.82
2022-08-11,P001,38.16,135.76
2022-08-12,P001,27.24,137.64
2022-08-13,P001,42.15,140.77
2022-08-14,P001,52.96,159.44
2022-08-15,P001,27.63,130.22
2022-08-16,P001,22.76,135.49
2022-08-17,P001,23.42,122.07
2022-08-18,P001,24.22,112.5
2022-08-19,P001,38.33,128.51
2022-08-20,P001,41.01,139.69
2022-08-21,P001,30.31,121.82
2022-08-22,P001,39.58,147.69
2022-08-23,P001,25.95,125.29
2022-08-24,P001,32.6,160.34
2022-08-25,P001,22.6,109.22
2022-08-26,P001,28.67,134.71
2022-08-27,P001,41.87,134.59
2022-08-28,P001,44.62,143.69
2022-08-29,P001,38.29,143.71
2022-08-30,P001,18.44,99.18
2022-08-31,P001,27.34,133.71
2022-09-01,P001,19.35,142.37
2022-09-02,P001,33.12,132.58
2022-09-03,P001,29.32,135.92
2022-09-04,P001,41.99,156.24
2022-09-05,P001,30.06,132.42
2022-09-06,P001,20.17,118.36
2022-09-07,P001,27.74,108.99
2022-09-08,P001,26.38,136.79
2022-09-09,P001,27.43,130.29
2022-09-10,P001,46.0,139.88
2022-09-11,P001,36.13,141.4
2022-09-12,P001,34.58,132.74
2022-09-13,P001,29.0,127.72
2022-09-14,P001,19.29,129.35
2022-09-15,P001,27.33,117.95
2022-09-16,P001,27.51,141.99
2022-09-17,P001,34.46,124.48
2022-09-18,P001,46.62,143.99
2022-09-19,P001,27.84,151.07
2022-09-20,P001,12.64,127.91
2022-09-21,P001,32.43,137.4
2022-09-22,P001,39.58,134.18
2022-09-23,P001,28.1,126.81
2022-09-24,P001,25.15,129.89
2022-09-25,P001,36.45,140.83
2022-09-26,P001,32.27,135.36
2022-09-27,P001,25.91,129.6
2022-09-28,P001,16.05,117.91
2022-09-29,P001,27.76,117.34
2022-09-30,P001,33.71,132.54
2022-10-01,P001,27.87,141.02
2022-10-02,P001,42.6,132.92
2022-10-03,P001,46.43,148.53
2022-10-04,P001,28.23,124.04
2022-10-05,P001,20.89,126.0
2022-10-06,P001,23.65,123.77
2022-10-07,P001,34.5,153.27
2022-10-08,P001,26.73,135.8
2022-10-09,P001,39.7,130.59
2022-10-10,P001,32.11,142.82
2022-10-11,P001,38.66,134.91
2022-10-12,P001,22.27,120.5
2022-10-13,P001,34.94,142.08
2022-10-14,P001,24.65,123.73
2022-10-15,P001,41.13,154.06
2022-10-16,P001,41.16,137.41
2022-10-17,P001,29.79,127.6
2022-10-18,P001,29.22,126.66
2022-10-19,P001,31.21,129.55
2022-10-20,P001,23.64,138.63
2022-10-21,P001,21.8,132.08
2022-10-22,P001,38.21,159.31
2022-10-23,P001,34.56,161.24
2022-10-24,P001,33.72,127.41
2022-10-25,P001,28.47,133.17
2022-10-26,P001,14.52,106.76
2022-10-27,P001,16.74,112.97
2022-10-28,P001,35.72,133.42
2022-10-29,P001,36.09,129.52
2022-10-30,P001,25.53,119.01
2022-10-31,P001,41.45,144.01
2022-11-01,P001,31.59,123.42
2022-11-02,P001,21.5,133.92
2022-11-03,P001,19.59,114.41
2022-11-04,P001,38.92,171.02
2022-11-05,P001,42.43,141.91
2022-11-06,P001,56.35,161.07
2022-11-07,P001,40.42,131.47
2022-11-08,P001,33.46,154.52
2022-11-09,P001,25.99,141.18
2022-11-10,P001,33.62,140.59
2022-11-11,P001,38.92,129.45
2022-11-12,P001,49.13,155.23
2022-11-13,P001,40.23,133.02
2022-11-14,P001,36.62,155.24
2022-11-15,P001,,141.71
2022-11-16,P001,33.12,138.07
2022-11-17,P001,39.12,118.76
2022-11-18,P001,33.84,128.01
2022-11-19,P001,40.52,151.4
2022-11-20,P001,46.72,162.85
2022-11-21,P001,39.25,154.34
2022-11-22,P001,39.72,127.8
2022-11-23,P001,16.4,123.42
2022-11-24,P001,26.73,140.88
2022-11-25,P001,33.48,120.9
2022-11-26,P001,30.74,134.66
2022-11-27,P001,40.67,147.41
2022-11-28,P001,36.87,137.86
2022-11-29,P001,34.46,119.94
2022-11-30,P001,38.26,139.0
2022-12-01,P001,31.91,132.63
2022-12-02,P001,33.7,136.22
2022-12-03,P001,46.05,144.41
2022-12-04,P001,54.48,154.05
2022-12-05,P001,38.26,141.87
2022-12-06,P001,31.97,140.4
2022-12-07,P001,36.72,137.68
2022-12-08,P001,33.85,133.75
2022-12-09,P001,45.58,150.5
2022-12-10,P001,48.14,132.93
2022-12-11,P001,54.24,163.01
2022-12-12,P001,39.76,143.76
2022-12-13,P001,39.23,143.63
2022-12-14,P001,33.98,147.59
2022-12-15,P001,29.77,114.24
2022-12-16,P001,34.21,118.48
2022-12-17,P001,54.24,160.98
2022-12-18,P001,49.84,153.77
2022-12-19,P001,41.77,147.47
2022-12-20,P001,40.66,140.04
2022-12-21,P001,43.96,154.6
2022-12-22,P001,25.33,138.66
2022-12-23,P001,36.57,145.41
2022-12-24,P001,46.55,147.94
2022-12-25,P001,62.69,145.61
2022-12-26,P001,51.57,163.26
2022-12-27,P001,47.82,164.04
2022-12-28,P001,32.33,142.78
2022-12-29,P001,34.29,129.49
2022-12-30,P001,50.23,160.97
2022-12-31,P001,54.43,167.04
2023-01-01,P001,59.21,178.8
2023-01-02,P001,50.75,145.98
2023-01-03,P001,46.88,148.62
2023-01-04,P001,42.12,153.59
2023-01-05,P001,47.67,152.24
2023-01-06,P001,54.38,147.21
2023-01-07,P001,46.36,154.51
2023-01-08,P001,44.43,154.21
2023-01-09,P001,59.88,164.76
2023-01-10,P001,54.33,160.53
2023-01-11,P001,37.04,138.45
2023-01-12,P001,33.83,152.61
2023-01-13,P001,52.12,147.11
2023-01-14,P001,63.64,161.77
2023-01-15,P001,70.67,174.78
2023-01-16,P001,58.93,171.72
2023-01-17,P001,46.93,135.96
2023-01-18,P001,39.75,130.65
2023-01-19,P001,47.0,130.62
2023-01-20,P001,51.66,155.99
2023-01-21,P001,53.89,146.71
2023-01-22,P001,74.09,174.25
2023-01-23,P001,68.45,179.06
2023-01-24,P001,57.88,155.46
2023-01-25,P001,41.47,147.79
2023-01-26,P001,53.94,154.94
2023-01-27,P001,59.16,169.88
2023-01-28,P001,64.49,173.24
2023-01-29,P001,71.14,168.22
2023-01-30,P001,63.38,165.69
2023-01-31,P001,57.32,171.75
2023-02-01,P001,52.62,160.56
2023-02-02,P001,52.64,142.67
2023-02-03,P001,46.39,156.95
2023-02-04,P001,64.1,157.25
2023-02-05,P001,62.04,180.17
2023-02-06,P001,53.61,167.85
2023-02-07,P001,64.68,171.57
2023-02-08,P001,60.86,166.44
2023-02-09,P001,60.42,162.33
2023-02-10,P001,60.28,171.07
2023-02-11,P001,73.33,173.63
2023-02-12,P001,67.07,173.42
2023-02-13,P001,64.1,176.82
2023-02-14,P001,49.6,147.98
2023-02-15,P001,54.43,152.27
2023-02-16,P001,54.17,146.22
